RICHIESTA N° PROT;RICHIESTA ANNO PROT;RICHIESTA DATA;PROCEDIMENTO;ESITO PRATICA;CHIUSURA PRATICA DATA;CODICE VIA;CIVICO;ESPONENTE CIVICO;LOCALIZZAZIONI LISTA
371547;2019;2019-08-20;permesso di costruire telefonia mobile - non residenziale;Concluso   Esito positivo;2019-09-10;23050;27;;VIA ARISTOTILE FIORAVANTI N.  27 INTERNO 0
171334;2019;2019-04-12;permesso di costruire telefonia mobile - non residenziale;Concluso   Esito positivo;2019-07-25;23050;1;;VIA ARISTOTILE FIORAVANTI N.  1 INTERNO 0
125412;2020;2020-03-26;permesso di costruire telefonia mobile - non residenziale;Concluso   Esito positivo;2020-05-15;8800;4;;VIA CESARE BOLDRINI N.  4 INTERNO 0
439141;2018;2018-10-25;permesso di costruire telefonia mobile - non residenziale;Concluso   Esito positivo;2019-03-08;52550;;;VIA DELLA SALUTE INTERNO 0  (Civico da definire)  PIANO T
153890;2019;2019-04-03;permesso di costruire telefonia mobile - non residenziale;Concluso   Esito negativo;2019-07-15;28300;1;;VIA DE' GOMBRUTI N.  1 INTERNO 0
158138;2020;2020-04-21;permesso di costruire telefonia mobile - non residenziale;Rilasciata;2020-08-20;13730;3;;VIA DEL CARROZZAIO N.  3 INTERNO 0  PIANO tetto
66881;2019;2019-02-11;permesso di costruire telefonia mobile - non residenziale;Concluso   Esito positivo;2019-05-22;50570;;;VIA GIUSEPPE RIVANI INTERNO 0  (Civico da definire)  PIANO TERRA
94700;2020;2020-03-02;permesso di costruire telefonia mobile - non residenziale;Concluso   Esito positivo;2020-06-15;62200;19;;VIA S.VITTORE N.  19 INTERNO 0
305676;2021;2021-07-03;permesso di costruire telefonia mobile - non residenziale;Rilasciata;2021-09-24;21400;209;;VIA EMILIA PONENTE N.  209 INTERNO 0  PIANO 0
402443;2021;2021-09-13;permesso di costruire telefonia mobile - non residenziale;Diniego SUAP;2021-12-02;10650;;;VIA MICHELANGIOLO BUONARROTI INTERNO 0  (Civico da definire)
425199;2021;2021-09-25;permesso di costruire telefonia mobile - non residenziale;Rilasciata;2021-10-08;29000;8;;VIA DE' GRIFFONI N.  8 INTERNO 0
138388;2022;2022-03-23;permesso di costruire telefonia mobile - non residenziale;Rilasciata con prescrizioni;2022-08-02;30840;17;;VIA DEI LAPIDARI N.  17 INTERNO 0
144418;2022;2022-03-26;permesso di costruire telefonia mobile - non residenziale;Rilasciata;2022-06-14;17950;282;;VIA DI CORTICELLA N.  282 INTERNO 0
158369;2022;2022-04-01;permesso di costruire telefonia mobile - non residenziale;Improcedibile;2022-04-12;5300;;;VIA BASSA DEI SASSI S.N.C.
207427;2022;2022-05-03;permesso di costruire telefonia mobile - non residenziale;Diniegata da SUAP.;2022-06-09;55950;;;VIA STALINGRADO  (Civico da definire)  PIANO t
331195;2022;2022-05-23;permesso di costruire telefonia mobile - non residenziale;Rilasciata con prescrizioni;2022-06-24;52450;;;VIA DI SALICETO INTERNO 0  (Civico da definire) SNC
682177;2022;2022-10-19;permesso di costruire telefonia mobile - non residenziale;Rinunciata su istanza di parte;2023-02-06;37300;152;1;VIA GIUSEPPE MAZZINI N.  152 / 1
847587;2022;2022-12-27;permesso di costruire telefonia mobile - non residenziale;Rilasciata;2023-02-15;6800;;;VIA BRUNO BENCIVENNI INTERNO 0  (Civico da definire)
178301;2023;2023-03-21;permesso di costruire telefonia mobile - non residenziale;Rilasciata con prescrizioni;2023-05-25;50250;4;;VIA RIMESSE N.  4
391711;2023;2023-06-01;permesso di costruire telefonia mobile - non residenziale;Rilasciata con prescrizioni;2023-08-16;56370;25;;VIA DEGLI STRADELLI GUELFI N.  25 INTERNO A
391789;2023;2023-06-02;permesso di costruire telefonia mobile - non residenziale;;;50600;4;;VIA FRANCESCO RIZZOLI N.  4 INTERNO 0
437399;2023;2023-06-26;permesso di costruire telefonia mobile - non residenziale;Rilasciata;2023-10-20;59500;30;;VIA FILIPPO TURATI N.  30 INTERNO 0
454736;2023;2023-07-05;permesso di costruire telefonia mobile - non residenziale;Acquisita in ingresso;2023-09-08;49900;23;2;VIA RIALTO N.  23 / 2 INTERNO 0
513939;2023;2023-08-03;permesso di costruire telefonia mobile - non residenziale;Diniegata;2024-02-06;13730;5;;VIA DEL CARROZZAIO N.  5 INTERNO 0
804346;2023;2023-12-04;permesso di costruire telefonia mobile - non residenziale;Rilasciata con prescrizioni;2024-02-09;61750;;;VIA VILLANOVA INTERNO 0  (Civico da definire)
390951;2024;2024-06-07;permesso di costruire telefonia mobile - non residenziale;Rilasciata con prescrizioni;2024-08-19;4350;9;;VIA GRAZIOLO BAMBAGLIOLI N.  9 INTERNO 0
537517;2024;2024-07-31;permesso di costruire telefonia mobile - non residenziale;Rilasciata con prescrizioni;2024-09-27;30400;24;;VIA IRNERIO N.  24 INTERNO 0
575812;2024;2024-08-23;permesso di costruire telefonia mobile - non residenziale;Diniegata;2024-11-15;60200;39;;VIA LUIGI VALERIANI N.  39 INTERNO 0
599333;2024;2024-09-09;permesso di costruire telefonia mobile - non residenziale;Rilasciata con prescrizioni;2024-10-21;51700;;;VIA DI ROVERETOLO INTERNO 0  (Civico da definire)
745596;2024;2024-10-19;permesso di costruire telefonia mobile - non residenziale;;;5450;13;;VIA UGO BASSI N.  13 INTERNO 0
29197;2008;2008-02-04;permesso di costruire Urbanistica;;;2900;;;VIA DELL'ARCOVEGGIO  -- SOSTEGNAZZO
56211;2008;2008-03-06;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2008-11-19;36700;3;;VIA MASSENZIO MASIA N.  3
90765;2008;2008-04-18;permesso di costruire Urbanistica;;;62300;;;VIA DEL VIVAIO
65557;2008;2008-03-18;permesso di costruire Urbanistica;Rilasciata;2008-06-05;;;;
105109;2008;2008-05-06;permesso di costruire Urbanistica;;;47700;0;;VIA DEL POZZO N. 0
190599;2008;2008-07-25;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2008-12-11;22400;24;;VIA FERRARESE N.  24
190748;2008;2008-07-25;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2009-10-15;;;;
128984;2008;2008-05-23;permesso di costruire Urbanistica;Rinunciata;2009-01-16;;;;
273239;2008;2008-11-14;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2009-02-12;;;;
92861;2008;2008-11-18;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2009-02-16;21270;6;;VIA GIOVANNI ELKAN N.  6
282694;2008;2008-11-26;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2009-08-10;21350;;;VIA EMILIA LEVANTE  ( Civico da definire )
29936;2009;2009-02-11;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2009-12-30;;;;
47015;2009;2009-02-26;permesso di costruire Urbanistica;Rilasciata;2009-06-17;22020;;;VIA LUIGINA FASOLI 7
46990;2009;2009-02-26;permesso di costruire Urbanistica;Rilasciata;2009-06-17;22020;3;;VIA LUIGINA FASOLI N.  3
75581;2009;2009-03-31;permesso di costruire Urbanistica;;;22020;;;VIA LUIGINA FASOLI 9 - 11 - 13
130432;2009;2009-05-26;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2009-06-16;;;;
179092;2009;2009-07-09;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2010-06-04;63330;4;;VIA FRANK ZAPPA N.  4
191230;2009;2009-07-27;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2009-10-26;40280;2;;VIALE ALDO MORO N.  2
196052;2009;2009-07-31;permesso di costruire Urbanistica;;;;;;
256409;2009;2009-10-15;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2010-05-27;;;;
241501;2009;2009-09-29;permesso di costruire Urbanistica;Rilasciata;2009-11-16;22020;3;;VIA LUIGINA FASOLI N.  3
251636;2009;2009-10-09;permesso di costruire Urbanistica;Rilasciata;2009-12-29;2350;15;;VIA SS.ANNUNZIATA N.  15
274560;2009;2009-11-06;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2010-07-01;;;;
276908;2009;2009-11-10;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2010-05-27;30850;4;;VIA LARGA N.  4
282464;2009;2009-11-16;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2011-02-14;;;;
245261;2008;2008-10-13;permesso di costruire Urbanistica;;;;;;
8643;2010;2010-01-15;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2010-03-19;;;;
25893;2010;2010-02-04;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2011-07-08;53850;4;;VIA SCIPIONE DAL FERRO N.  4
137593;2010;2010-05-31;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2010-12-13;7370;;;VIA ENRICO BERLINGUER  ( Civico da definire )
161610;2010;2010-06-23;permesso di costruire Urbanistica;;;29350;;;VIA DELLA GUARDIA
161647;2010;2010-06-23;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2010-10-25;29350;22;;VIA DELLA GUARDIA N.  22 24, 26, 28
164955;2010;2010-06-28;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2010-12-20;;;;
190334;2010;2010-07-26;permesso di costruire Urbanistica;Decaduta;2010-12-12;;;;
192287;2010;2010-07-28;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2010-12-28;30850;;;VIA LARGA
198827;2010;2010-08-05;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2010-11-29;5370;10;;VIA GIORGIO BASSANI N.  10
202183;2010;2010-08-11;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2010-11-30;40280;2;;VIALE ALDO MORO N.  2
206541;2010;2010-08-23;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2010-09-16;7800;2;4;VIALE CARLO BERTI PICHAT N.  2 / 4
229588;2010;2010-09-22;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2010-10-11;21270;15;;VIA GIOVANNI ELKAN N.  15
306333;2010;2010-12-22;permesso di costruire Urbanistica;;;13380;6;;VIALE TITO CARNACINI N.  6
307457;2010;2010-12-23;permesso di costruire Urbanistica;Rilasciata;2011-02-23;40280;2;;VIALE ALDO MORO N.  2
135837;2011;2011-06-09;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2011-10-06;13380;;;VIALE TITO CARNACINI  ( Civico da definire )
165040;2011;2011-07-06;permesso di costruire Urbanistica;;;22600;;;VIA DELLA FERRIERA
176858;2011;2011-07-21;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2011-09-15;40280;2;;VIALE ALDO MORO N.  2
234183;2011;2011-10-06;permesso di costruire Urbanistica;;;11050;27;2;VIA CADRIANO N.  27 / 2
2834;2012;2012-01-09;permesso di costruire Urbanistica;Rilasciata;2015-04-18;61900;49;;VIA SANTE VINCENZI N.  49
63509;2012;2012-03-14;permesso di costruire Urbanistica;;;17630;15;;VIA DEL COMMERCIO ASSOCIATO N.  15
90886;2012;2012-04-17;permesso di costruire Urbanistica;;;22070;12;;VIA RENATO FAVA N.  12
90952;2012;2012-04-17;permesso di costruire Urbanistica;;;22070;24;;VIA RENATO FAVA N.  24
115070;2012;2012-05-11;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2012-06-21;55700;42;;VIA SPERANZA N.  42
180965;2012;2012-07-25;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2013-08-02;5000;;;VIA ILIO BARONTINI  ( Civico da definire )
186226;2012;2012-08-01;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2013-08-02;63250;;;VIA ANTONIO ZANOLINI R5.8b - veneta
296686;2012;2012-12-19;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2013-04-29;61900;49;;VIA SANTE VINCENZI N.  49
53396;2013;2013-03-05;permesso di costruire Urbanistica;;;;;;
77851;2013;2013-04-05;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2014-03-03;37300;152;;VIA MAZZINI N.  152
129420;2013;2013-05-28;permesso di costruire Urbanistica;;;;;;
188881;2013;2013-07-25;permesso di costruire Urbanistica;;;;;;
230697;2013;2013-09-17;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2014-02-25;;;;
265754;2013;2013-10-16;permesso di costruire Urbanistica;Concluso   Esito positivo;2014-03-11;23150;5;;VIA PIETRO FIORINI N.  5
282789;2013;2013-11-05;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2013-11-22;7800;2;4;VIALE CARLO BERTI PICHAT N.  2 / 4
258199;2014;2014-09-15;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2015-02-26;7800;2;4;VIALE CARLO BERTI PICHAT N.  2 / 4
359590;2014;2014-12-16;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2015-06-03;53140;;;VIA ARMANDO SARTI INTERNO 0  ( Civico da definire )
12249;2015;2015-01-16;permesso di costruire Urbanistica;Rilasciata con prescrizioni;2015-06-05;70;;;VIA NICOLO' DELL'ABATE INTERNO 0  ( Civico da definire )
12278;2015;2015-01-16;permesso di costruire Urbanistica;Rilasciata;2015-06-01;70;;;VIA NICOLO' DELL'ABATE INTERNO 0  ( Civico da definire )
143036;2017;2017-04-21;URB - permesso di costruire a sanatoria con lavori LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2017-05-11;21270;4;;VIA GIOVANNI ELKAN N.  4  PIANO T-1-2
166532;2021;2021-04-12;URB - permesso di costruire a sanatoria con lavori LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2021-09-07;55950;61;;VIA STALINGRADO N.  61
848937;2024;2024-11-28;URB - permesso di costruire in deroga LR 15/2013 - non residenziale;;;18150;8;;PIAZZA DELLA COSTITUZIONE N.  8 INTERNO 0
332042;2019;2019-07-18;URB - permesso di costruire LR 15/2013;Rilasciata con prescrizioni;2021-11-16;11240;;;VIA JOHN CAGE INTERNO 0  (Civico da definire)  PIANO 0
58679;2019;2019-02-05;URB - permesso di costruire LR 15/2013;Rilasciata;2019-06-18;22400;162;3;VIA FERRARESE N.  162 / 3
102403;2021;2021-03-03;URB - permesso di costruire LR 15/2013;Rilasciata con prescrizioni;2022-03-09;27350;;;VIA GIORGIONE  ( Civico da definire )
294645;2021;2021-06-25;URB - permesso di costruire LR 15/2013;Rilasciata con prescrizioni;2021-12-03;46590;28;;VIA FERNANDA PIVANO N.  28
430661;2021;2021-09-28;URB - permesso di costruire LR 15/2013;Rilasciata con prescrizioni;2023-03-21;10030;;;VIA ELIO BRAGAGLIA INTERNO 0  ( Civico da definire ) PIANO 0
586393;2021;2021-12-30;URB - permesso di costruire LR 15/2013;Rilasciata con prescrizioni;2023-03-28;10030;;;VIA ELIO BRAGAGLIA  (Civico da definire)
104994;2022;2022-03-02;URB - permesso di costruire LR 15/2013;Rilasciata;2023-01-17;22400;;;VIA FERRARESE  (Civico da definire)
418402;2022;2022-07-06;URB - permesso di costruire LR 15/2013;Rilasciata con prescrizioni;2023-01-24;21400;81;;VIA EMILIA PONENTE N.  81
771564;2023;2023-11-20;URB - permesso di costruire LR 15/2013;Rilasciata con prescrizioni;2024-06-05;50570;39;;VIA GIUSEPPE RIVANI N.  39
314692;2018;2018-07-24;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2020-11-12;58970;;;VIA TRATTATI COMUNITARI EUROPEI 1957-2007  (Civico da definire)
323198;2020;2020-08-17;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2021-05-18;40360;;;VIA ATTILIO MUGGIA INTERNO /  (Civico da definire)  PIANO /
506214;2020;2020-11-30;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2021-05-17;34590;;;VIA ALBERTO MANZI  (Civico da definire)
486736;2020;2020-11-23;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2021-06-01;63100;526;;VIA FRANCESCO ZANARDI N.  526 INTERNO 0
206248;2018;2018-05-17;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2019-01-25;54400;;;VIA SEBASTIANO SERLIO  (Civico da definire)
359150;2015;2015-11-17;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2016-01-18;7800;2;4;VIALE CARLO BERTI PICHAT N.  2 / 4
395178;2015;2015-12-17;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2016-03-31;55950;;;VIA STALINGRADO  (Civico da definire)
77012;2016;2016-03-04;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2016-06-30;;;;LARGA  (Civico da definire) (via provvisoria)
183726;2016;2016-05-27;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2017-01-25;12320;1;;VIA PAOLO CANALI N.  1 INTERNO 0  PIANO 0
205540;2016;2016-06-14;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata;2018-10-22;7950;;;VIA NINO BERTOCCHI  (Civico da definire)
32168;2017;2017-01-27;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2017-06-06;600;;;VIA S.AGNESE  (Civico da definire)
119645;2017;2017-04-04;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2018-01-26;15680;;;VIA GIORGIO CENCETTI  (Civico da definire)
124263;2017;2017-04-06;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2018-01-26;3200;12;;VIA DELLE ARMI N.  12
216544;2017;2017-06-14;URB - permesso di costruire LR 15/2013 - non residenziale;;;11050;27;2;VIA CADRIANO N.  27 / 2 INTERNO -  PIANO T
12511;2018;2018-01-11;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2018-05-16;7800;2;4;VIALE CARLO BERTI PICHAT N.  2 / 4 INTERNO 0  PIANO 0
163236;2020;2020-04-25;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2020-10-06;600;;;VIA S.AGNESE INTERNO 0  (Civico da definire)
270415;2021;2021-06-14;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata;2023-06-26;27350;;;VIA GIORGIONE  (Civico da definire)
27998;2023;2023-01-16;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2023-05-22;53140;;;VIA ARMANDO SARTI  (Civico da definire)
493705;2023;2023-07-24;URB - permesso di costruire LR 15/2013 - non residenziale;Rinunciata su istanza di parte;2023-08-08;600;;;VIA SANT'AGNESE INTERNO 0  (Civico da definire)  PIANO 0,+1
606800;2023;2023-09-15;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2024-02-26;63600;;;VIA VALERIO ZURLINI  (Civico da definire)
638758;2023;2023-09-29;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2024-03-12;53140;;;VIA ARMANDO SARTI  (Civico da definire)
660221;2023;2023-10-05;URB - permesso di costruire LR 15/2013 - non residenziale;;;5370;;;VIA GIORGIO BASSANI INTERNO 0  (Civico da definire)
660232;2023;2023-10-05;URB - permesso di costruire LR 15/2013 - non residenziale;Rilasciata con prescrizioni;2024-01-19;5370;;;VIA GIORGIO BASSANI INTERNO 0  (Civico da definire)  PIANO 0
694099;2023;2023-10-23;URB - permesso di costruire LR 15/2013 - non residenziale;;;35100;203;15;VIA MARCO EMILIO LEPIDO N.  203 / 15 INTERNO 0
215306;2024;2024-03-29;URB - permesso di costruire LR 15/2013 - non residenziale;;;12320;16;;VIA PAOLO CANALI N.  16
438964;2024;2024-06-29;URB - permesso di costruire LR 15/2013 - non residenziale;;;21270;;;VIA GIOVANNI ELKAN  (Civico da definire)
457564;2019;2019-10-15;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Concluso   Esito positivo;2021-03-11;36250;4;;VIA MARZABOTTO N.  4
492681;2018;2018-11-26;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Rilasciata con prescrizioni;2019-10-29;57180;;;VIA UMBERTO TERRACINI  (Civico da definire)
319643;2018;2018-07-26;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Rilasciata con prescrizioni;2018-11-16;7800;2;4;VIALE CARLO BERTI PICHAT N.  2 / 4 INTERNO 0
467846;2018;2018-11-12;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Concluso   Esito positivo;2019-10-14;17950;;;VIA DI CORTICELLA INTERNO 0  (Civico da definire)
454626;2018;2018-11-06;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Rilasciata con prescrizioni;2020-04-30;57180;;;VIA UMBERTO TERRACINI  (Civico da definire)
66794;2019;2019-02-11;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Rilasciata con prescrizioni;2019-12-16;22310;;;VIA FERNANDO FELICORI  (Civico da definire)
69060;2019;2019-02-12;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Rilasciata con prescrizioni;2019-09-23;8100;21;;VIA DELLA BEVERARA N.  21 INTERNO 0
36477;2020;2020-01-24;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;;;9830;2;;VIA GIUSEPPE BOSI N.  2 INTERNO 0  PIANO terra
249360;2015;2015-08-07;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Concluso   Esito positivo;2016-11-14;17950;184;2;VIA DI CORTICELLA N.  184 / 2 INTERNO 0
105722;2016;2016-03-31;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Rilasciata con prescrizioni;2016-06-30;31100;;;VIA DEL LAZZARETTO  ( Civico da definire )
235908;2016;2016-07-08;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Rilasciata con prescrizioni;2017-01-18;47900;;;VIA PRATI DI CAPRARA INTERNO 0  (Civico da definire)
282902;2016;2016-08-26;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Concluso   Esito positivo;2018-12-05;10000;2;;VIA PAOLO BOVI CAMPEGGI N.  2
353666;2016;2016-10-21;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Rilasciata con prescrizioni;2017-03-10;7200;7;;VIA ALFREDO BERGAMI N.  7
264610;2017;2017-07-21;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Rilasciata con prescrizioni;2018-05-09;28100;;;VIA CARLO GOLDONI  (Civico da definire)
327160;2018;2018-08-01;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Rilasciata;2019-07-11;12320;;;VIA PAOLO CANALI  (Civico da definire)
541502;2021;2021-12-01;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Rilasciata con prescrizioni;2022-06-15;21400;81;;VIA EMILIA PONENTE N.  81 INTERNO 0
19609;2022;2022-01-14;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;;;22310;;;VIA FERNANDO FELICORI  (Civico da definire)
61766;2023;2023-02-01;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Rilasciata con prescrizioni;2023-11-28;24670;;;VIA SIGMUND FREUD  (Civico da definire)
385942;2023;2023-05-30;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;Rilasciata;2024-04-11;55950;31;;VIA STALINGRADO N.  31
692698;2023;2023-10-23;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;;;57900;;;VIA DELLE TOFANE INTERNO 0  (Civico da definire)
869066;2024;2024-12-06;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;;;10030;;;VIA ELIO BRAGAGLIA  (Civico da definire)
897531;2024;2024-12-19;URB - permesso di costruire LR 15/2013 per opere di urbanizzazione;;;8100;6;;VIA DELLA BEVERARA N.  6
1655;2008;2008-01-04;permesso di costruire;Rilasciata;2008-06-05;42050;;;VIA OLMETOLA  ( Civico da definire ) in aderenza al civico 76/3
9067;2008;2008-01-15;permesso di costruire;Rilasciata;2008-06-30;59350;28;;VIA DEL TRIUMVIRATO N.  28
19211;2008;2008-01-24;permesso di costruire;Rilasciata;2008-04-14;25650;4;;VIA FERRUCCIO GARAVAGLIA N.  4 INTERNO 4  PIANO 6
19822;2008;2008-01-25;permesso di costruire;Rilasciata;2008-04-30;37750;46;;VIA GIUSEPPE MENGONI N.  46
27616;2008;2008-02-01;permesso di costruire;Rilasciata;2008-07-08;18700;3;;VIA CROCIONE N.  3
28749;2008;2008-02-04;permesso di costruire;Concluso   Esito positivo;2008-05-21;43880;19;;VIA PIO PANFILI N.  19
30958;2008;2008-02-06;permesso di costruire;Rilasciata;2008-06-04;50650;6;;VIA FRANCESCO ROCCHI N.  6 INTERNO 15 PIANO 5°
34585;2008;2008-02-11;permesso di costruire;Rilasciata;2009-02-20;57050;1;;VIA ALESSANDRO TASSONI N.  1
43013;2008;2008-02-20;permesso di costruire;Concluso   Esito positivo;2008-05-12;18000;155;;VIA ANDREA COSTA N.  155
45102;2008;2008-02-22;permesso di costruire;Rilasciata;2008-03-20;10100;2;;VIA LUIGI BREVENTANI N.  2
45156;2008;2008-02-22;permesso di costruire;Rilasciata;2008-06-13;20080;38;;VIA QUIRINO DI MARZIO N.  38 edificio principale civici 36, 38 e 40
58293;2008;2008-03-10;permesso di costruire;Rilasciata;2008-05-23;35100;222;;VIA MARCO EMILIO LEPIDO N.  222
60791;2008;2008-03-12;permesso di costruire;Rinunciata;2008-08-01;43980;18;;VIA GIOVANNI PAPINI N.  18
62943;2008;2008-03-14;permesso di costruire;Diniegata;2008-09-30;5500;46;;VIA LAURA BASSI VERATTI N.  46
68462;2008;2008-03-21;permesso di costruire;Rinunciata;2008-06-19;21400;137;;VIA EMILIA PONENTE N.  137
69550;2008;2008-03-25;permesso di costruire;Rilasciata;2008-09-01;15200;8;2;VIA ANTONIO CAVALIERI DUCATI N.  8 / 2
71971;2008;2008-03-27;permesso di costruire;Rilasciata con prescrizioni;2009-03-31;38050;8;;VIA DI MEZZO N.  8
72555;2008;2008-03-28;permesso di costruire;Rilasciata;2008-06-23;21750;116;;VIA DEL FAGGIOLO N.  116
73583;2008;2008-03-31;permesso di costruire;Diniegata;2008-07-24;57750;2;;VIA BENVENUTO TISI N.  2
74783;2008;2008-04-01;permesso di costruire;Rilasciata;2008-07-25;22400;60;;VIA FERRARESE N.  60
76050;2008;2008-04-02;permesso di costruire;;;17700;16;;VIA DELLA CONCORDIA N.  16
85050;2008;2008-04-11;permesso di costruire;Rilasciata;2008-10-31;35100;107;;VIA MARCO EMILIO LEPIDO N.  107
90195;2008;2008-04-18;permesso di costruire;Rilasciata;2008-07-22;21750;61;;VIA DEL FAGGIOLO N.  61
93096;2008;2008-04-22;permesso di costruire;Rilasciata;2008-06-26;44950;80;;VIALE CARLO PEPOLI N.  80 INTERNO 9 piano quinto
130386;2008;2008-05-26;permesso di costruire;Rilasciata;2008-09-08;56370;11;;VIA DEGLI STRADELLI GUELFI N.  11 intero edificio
134724;2008;2008-05-29;permesso di costruire;Rilasciata;2008-09-15;1200;15;;VIA PIETRO ALBERTONI N.  15
136260;2008;2008-05-30;permesso di costruire;Rilasciata;2008-07-23;35100;6;;VIA MARCO EMILIO LEPIDO N.  6
136273;2008;2008-05-30;permesso di costruire;Rilasciata con prescrizioni;2008-09-22;55350;5;;VIA DEL SOSTEGNAZZO N.  5
141401;2008;2008-06-05;permesso di costruire;Rilasciata;2008-10-14;57200;16;9;VIA DEL TERRAPIENO N.  16 / 9
155237;2008;2008-06-18;permesso di costruire;Rilasciata;2009-04-21;5500;19;;VIA LAURA BASSI VERATTI N.  19
161398;2008;2008-06-23;permesso di costruire;Rilasciata;2008-07-21;47300;9;;VIA PORRETTANA N.  9
170147;2008;2008-07-01;permesso di costruire;Rilasciata con prescrizioni;2008-12-15;22400;180;;VIA FERRARESE N.  180
176475;2008;2008-07-08;permesso di costruire;Rilasciata;2008-07-17;17400;63;;VIA CRISTOFORO COLOMBO N.  63
179150;2008;2008-07-10;permesso di costruire;Rilasciata con prescrizioni;2008-11-11;57200;16;;VIA DEL TERRAPIENO N.  16
